,b=0.05,b=0.1,b=0.5
sd=0.1,0.7468983569094009,0.760699116183891,0.7685560298869544
sd=0.2,0.7206081183087086,0.7811878137731803,0.7298798010097637
sd=0.3,0.8305856214752749,0.7425021368985987,0.7475078769133389
sd=0.4,0.8898483610395078,0.785107517925735,0.7312744018917604
sd=0.5,1.136313050635718,0.7800619524857842,0.7671080086886678
sd=0.6,1.9170691835003182,0.775110766297054,0.7148709629155516
sd=0.7,3.4148624943700696,0.774836287032757,0.7666641872602966
sd=0.8,5.084635381469435,0.8437882876951643,0.696551733332949
sd=0.9,5.73542742457333,0.9227143597600341,0.7778557438411208
sd=1,6.1885958686666775,1.096861904758361,0.7533524408171617
