,b=0.05,b=0.1,b=0.5
sd=0.1,0.970686258838256,0.9037701107369129,0.9109963414347039
sd=0.2,0.8828244329019579,0.9180276720679698,0.9312815961649563
sd=0.3,0.9645878495398382,0.9071536033615506,0.9130074625905863
sd=0.4,1.1004144473571842,0.895683940887344,0.9473472678531691
sd=0.5,1.7782061448857782,0.8969081883593897,0.9588945580529221
sd=0.6,3.1971967197397357,0.9463845003840258,0.9436331678182509
sd=0.7,4.681241412163567,0.9617532646475432,0.9514287189951223
sd=0.8,5.846438394568579,1.0928384916031013,0.9538846334456905
sd=0.9,6.36369079432112,1.3426740894636355,0.8732904806533405
sd=1,6.405759389410823,1.7483780160151963,0.9154925882998031
